,player,team,pos,age,games,g_start,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fpts,fpts_ppr,dk_pts,fd_pts,vbd,fantasy_rank_pos,fantasy_rank_overall
0,Aaron Rodgers ,GNB,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,5,,3,,,397,397.4,409.4,403.4,175,1,1
1,Drew Brees,NOR,QB,32,16,16,468,657,5476,46,14,21,86,4.10,1,0,0,0,,0,1,1,1,,3,394,393.6,411.6,407.6,171,2,2
2,Ray Rice,BAL,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,2,15,,,297,372.8,380.8,334.8,149,1,3
3,Calvin Johnson ,DET,WR,26,16,16,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,1,1,16,,,263,359.2,363.2,311.2,148,1,4
4,Cam Newton,CAR,QB,22,16,16,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,5,2,14,,2,369,370.3,395.3,386.8,147,3,5
5,Rob Gronkowski ,NWE,TE,22,16,16,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,0,,18,,,241,330.9,333.9,285.9,145,1,6
6,Tom Brady ,NWE,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,6,2,3,,,366,366.3,386.3,378.3,144,4,7
7,LeSean McCoy,PHI,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,1,20,,,280,328.4,335.4,304.4,133,2,8
8,Matthew Stafford,DET,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,5,1,0,,2,343,343.3,363.3,359.3,121,5,9
9,Maurice Jones-Drew,JAX,RB,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,6,1,11,,,262,305.0,312.0,283.5,115,3,10
10,Arian Foster ,HOU,RB,25,13,13,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,6,2,12,,,252,305.1,313.1,278.6,105,4,11
11,Jordy Nelson,GNB,WR,26,16,9,0,0,0,0,0,0,0,,0,96,68,1263,18.57,15,0,,15,,,216,284.3,287.3,250.3,101,2,12
12,Jimmy Graham,NOR,TE,25,16,11,0,0,0,0,0,0,0,,0,149,99,1310,13.23,11,1,1,11,,,195,294.0,298.0,244.5,99,2,13
13,Wes Welker,NWE,WR,30,16,15,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,1,,9,,,214,335.9,338.9,274.9,98,3,14
14,Victor Cruz,NYG,WR,25,16,7,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,1,1,9,,,206,287.9,291.9,246.9,90,4,15
15,Larry Fitzgerald,ARI,WR,28,16,16,0,0,0,0,0,0,0,,0,154,80,1411,17.64,8,0,,8,,,189,269.1,272.1,229.1,74,5,16
16,Steve Smith,CAR,WR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,2,7,1,,185,264.0,269.0,224.5,69,6,17
17,Marshawn Lynch ,SEA,RB,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,2,13,,,216,243.6,251.6,229.6,68,5,18
18,Percy Harvin,MIN,WR,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,2,2,9,,,181,268.2,276.2,224.7,66,7,19
19,Michael Turner,ATL,RB,29,16,15,0,0,0,0,0,301,1340,4.45,11,26,17,168,9.88,0,3,2,11,,,213,229.8,237.8,221.3,65,6,20
20,Roddy White,ATL,WR,30,16,16,0,0,0,0,0,0,0,,0,180,100,1296,12.96,8,0,,8,,,178,277.6,280.6,227.6,62,8,21
21,Eli Manning ,NYG,QB,30,16,16,359,589,4933,29,16,35,15,0.43,1,0,0,0,,0,8,4,1,,,281,280.8,303.8,296.8,58,6,22
22,Mike Wallace,PIT,WR,25,16,14,0,0,0,0,0,5,57,11.40,0,114,72,1193,16.57,8,1,1,8,,,171,243.0,247.0,207.0,55,9,23
23,Vincent Jackson,SDG,WR,28,16,16,0,0,0,0,0,3,51,17.00,0,115,60,1106,18.43,9,0,,9,,,170,229.7,232.7,199.7,54,10,24
24,Tony Romo ,DAL,QB,31,16,16,346,522,4184,31,10,22,46,2.09,1,0,0,0,,0,7,3,1,,,276,276.0,292.0,286.0,53,7,25
25,Matt Ryan,ATL,QB,26,16,16,347,566,4177,29,12,37,84,2.27,2,0,0,0,,0,5,3,2,,,273,273.5,291.5,285.5,51,8,26
