,player,team,pos,age,games,g_start,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fpts,fpts_ppr,dk_pts,fd_pts,vbd,fantasy_rank_pos,fantasy_rank_overall
26,Hakeem Nicks,NYG,WR,23,15,15,0,0,0,0,0,0,0,,0,133,76,1192,15.68,7,0,,7,,,161,237.2,240.2,199.2,46,11,27
27,Marques Colston,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,107,80,1143,14.29,8,1,1,8,,,160,240.3,244.3,200.3,45,12,28
28,Darren Sproles ,NOR,RB,28,16,4,0,0,0,0,0,87,603,6.93,2,111,86,710,8.26,7,1,,10,,,191,277.3,283.3,234.3,44,7,29
29,Adrian Peterson,MIN,RB,26,12,12,0,0,0,0,0,208,970,4.66,12,24,18,139,7.72,1,1,,13,,,189,206.9,212.9,197.9,42,8,30
30,Brandon Marshall,MIA,WR,27,16,16,0,0,0,0,0,1,13,13.00,0,141,81,1214,14.99,6,1,1,6,,,157,237.7,241.7,197.2,41,13,31
31,Aaron Hernandez,NWE,TE,22,14,12,0,0,0,0,0,5,45,9.00,0,113,79,910,11.52,7,1,1,7,,,136,214.5,218.5,175.0,40,3,32
32,Ryan Mathews,SDG,RB,24,14,14,0,0,0,0,0,222,1091,4.91,6,59,50,455,9.10,0,5,2,6,,,187,236.6,244.6,211.6,39,9,33
33,Michael Bush,OAK,RB,27,16,9,0,0,0,0,0,256,977,3.82,7,47,37,418,11.30,1,1,1,8,,,186,222.5,229.5,204.0,38,10,34
34,A.J. Green,CIN,WR,23,15,15,0,0,0,0,0,5,53,10.60,0,115,65,1057,16.26,7,1,,7,,,153,218.0,221.0,185.5,37,14,35
35,Laurent Robinson,DAL,WR,26,14,4,0,0,0,0,0,0,0,,0,80,54,858,15.89,11,0,,11,,,152,205.8,208.8,178.8,36,15,36
36,Nate Washington,TEN,WR,28,16,15,0,0,0,0,0,2,5,2.50,1,121,74,1023,13.82,7,0,,8,,,151,224.8,227.8,187.8,35,16,37
37,Steven Jackson,STL,RB,28,15,15,0,0,0,0,0,260,1145,4.40,5,58,42,333,7.93,1,2,1,6,,,182,223.8,230.8,202.8,34,11,38
38,Tony Gonzalez,ATL,TE,35,16,16,0,0,0,0,0,0,0,,0,116,80,875,10.94,7,0,,7,,,130,209.5,212.5,169.5,34,4,39
39,Greg Jennings,GNB,WR,28,13,13,0,0,0,0,0,0,0,,0,101,67,949,14.16,9,0,,9,,,149,215.9,218.9,182.4,33,17,40
40,Julio Jones ,ATL,WR,22,13,13,0,0,0,0,0,6,56,9.33,0,95,54,959,17.76,8,1,1,8,,,148,201.5,205.5,174.5,32,18,41
41,Philip Rivers,SDG,QB,30,16,16,366,582,4624,27,20,26,36,1.38,1,0,0,0,,0,9,5,1,,1,255,254.6,282.6,274.6,32,9,42
42,Dwayne Bowe,KAN,WR,27,16,14,0,0,0,0,0,1,12,12.00,0,142,81,1159,14.31,5,1,,5,,,147,228.1,231.1,187.6,32,19,43
43,Frank Gore,SFO,RB,28,16,15,0,0,0,0,0,282,1211,4.29,8,31,17,114,6.71,0,2,2,8,,,177,193.5,201.5,185.0,29,12,44
44,Jermichael Finley,GNB,TE,24,16,13,0,0,0,0,0,0,0,,0,92,55,767,13.95,8,0,,8,,,125,179.7,182.7,152.2,29,5,45
45,Reggie Bush,MIA,RB,26,15,15,0,0,0,0,0,216,1086,5.03,6,52,43,296,6.88,1,4,2,7,,,176,219.2,227.2,197.7,29,13,46
46,Jason Witten,DAL,TE,29,16,16,0,0,0,0,0,0,0,,0,117,79,942,11.92,5,1,,5,,,124,203.2,206.2,163.7,28,6,47
47,Dez Bryant,DAL,WR,23,15,13,0,0,0,0,0,1,5,5.00,0,103,63,928,14.73,9,3,2,9,,,143,206.3,211.3,174.8,28,20,48
48,Steve Johnson,BUF,WR,25,16,16,0,0,0,0,0,0,0,,0,134,76,1004,13.21,7,0,,7,,,142,218.4,221.4,180.4,27,21,49
49,Antonio Gates,SDG,TE,31,13,13,0,0,0,0,0,0,0,,0,88,64,778,12.16,7,0,,7,,,120,183.8,186.8,151.8,24,7,50
50,Fred Jackson,BUF,RB,30,10,10,0,0,0,0,0,170,934,5.49,6,50,39,442,11.33,0,2,2,6,,,170,208.6,216.6,189.1,22,14,51
51,Matt Forte ,CHI,RB,26,12,12,0,1,0,0,0,203,997,4.91,3,76,52,490,9.42,1,2,2,4,,,169,220.7,228.7,194.7,21,15,52
52,Chris Johnson ,TEN,RB,26,16,16,0,0,0,0,0,262,1047,4.00,4,79,57,418,7.33,0,3,1,4,,,169,225.5,232.5,197.0,21,16,53
53,Beanie Wells ,ARI,RB,23,14,14,0,0,0,0,0,245,1047,4.27,10,16,10,52,5.20,0,4,2,10,,,166,175.9,180.9,170.9,19,17,54
54,Antonio Brown ,PIT,WR,23,16,3,0,0,0,0,0,7,41,5.86,0,124,69,1108,16.06,2,0,,3,,,133,201.9,204.9,167.4,17,22,55
55,Vernon Davis ,SFO,TE,27,16,16,0,0,0,0,0,2,-5,-2.50,0,95,67,792,11.82,6,3,1,6,,,113,179.7,183.7,146.2,17,8,56
56,Brent Celek,PHI,TE,26,16,16,0,0,0,0,0,0,0,,0,98,62,811,13.08,5,0,,5,,,111,173.1,176.1,142.1,15,9,57
57,Shonn Greene,NYJ,RB,26,16,15,0,0,0,0,0,253,1054,4.17,6,41,30,211,7.03,0,1,,6,,,163,192.5,198.5,177.5,15,18,58
58,Mark Sanchez,NYJ,QB,25,16,16,308,543,3474,26,18,37,103,2.78,6,0,0,0,,0,10,8,6,,,237,237.3,269.3,255.3,14,10,59
59,Torrey Smith,BAL,WR,22,16,14,0,0,0,0,0,4,39,9.75,0,95,50,841,16.82,7,1,,7,,,130,180.0,183.0,155.0,14,23,60
60,Pierre Garcon,IND,WR,25,16,16,0,0,0,0,0,4,28,7.00,0,134,70,947,13.53,6,2,2,6,,,130,199.5,204.5,164.5,14,24,61
61,Dustin Keller,NYJ,TE,27,16,12,0,0,0,0,0,0,0,,0,115,65,815,12.54,5,1,1,5,,,110,174.5,178.5,142.0,14,10,62
62,Rashard Mendenhall,PIT,RB,24,15,15,0,0,0,0,0,228,928,4.07,9,28,18,154,8.56,0,1,1,9,,,160,178.2,185.2,169.2,13,19,63
63,Brandon Pettigrew,DET,TE,26,16,16,0,0,0,0,0,0,0,,0,126,83,777,9.36,5,0,,5,,,108,190.7,193.7,149.2,12,11,64
64,Ahmad Bradshaw,NYG,RB,25,12,9,0,0,0,0,0,171,659,3.85,9,44,34,267,7.85,2,1,1,11,1,,159,192.6,199.6,175.6,11,20,65
65,Michael Vick,PHI,QB,31,13,13,253,423,3303,18,14,76,589,7.75,1,0,0,0,,0,10,4,1,,,233,233.0,257.0,247.0,10,11,67
66,DeSean Jackson,PHI,WR,25,15,15,0,0,0,0,0,7,41,5.86,0,104,58,961,16.57,4,1,,4,,,124,182.2,185.2,153.2,9,26,68
67,Jabar Gaffney,WAS,WR,31,16,15,0,0,0,0,0,0,0,,0,114,68,947,13.93,5,1,1,5,,,123,190.7,194.7,156.7,7,27,69
68,Reggie Wayne,IND,WR,33,16,16,0,0,0,0,0,0,0,,0,132,75,960,12.80,4,0,,4,,,120,195.0,198.0,157.5,4,28,70
69,Darrius Heyward-Bey,OAK,WR,24,15,14,0,0,0,0,0,0,0,,0,115,64,975,15.23,4,1,1,4,,,120,183.5,187.5,151.5,4,29,71
70,Willis McGahee,DEN,RB,30,15,14,0,0,0,0,0,249,1199,4.82,4,20,12,51,4.25,1,4,3,5,1,,151,163.0,169.0,157.0,4,21,72
71,Mike Tolbert,SDG,RB,26,15,1,0,0,0,0,0,121,490,4.05,8,79,54,433,8.02,2,2,1,10,,,150,204.3,211.3,177.3,3,22,73
72,BenJarvus Green-Ellis,NWE,RB,26,16,6,0,0,0,0,0,181,667,3.69,11,13,9,159,17.67,0,0,,11,,,149,157.6,163.6,153.1,1,23,74
73,Marquis Johnson,STL,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,1,75
74,Korey Hall,NOR,,28,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,3,76
75,Malcom Floyd ,SDG,WR,30,12,9,0,0,0,0,0,0,0,,0,70,43,856,19.91,5,0,,5,,,116,158.6,161.6,137.1,,30,77
76,David Nelson,BUF,TE,25,16,13,0,0,0,0,0,0,0,,0,97,61,658,10.79,5,0,,5,,,96,156.8,159.8,126.3,,12,78
77,Ryan Fitzpatrick,BUF,QB,29,16,16,353,569,3832,24,23,56,215,3.84,0,0,0,0,,0,7,2,0,1,,223,222.8,253.8,245.8,,12,
78,Ben Roethlisberger,PIT,QB,29,15,15,324,513,4077,21,14,31,70,2.26,0,0,0,0,,0,9,5,0,,,216,216.1,238.1,230.1,,13,
79,Alex Smith,SFO,QB,27,16,16,273,445,3144,17,5,52,179,3.44,2,0,0,0,,0,7,2,2,,1,212,211.7,224.7,216.7,,14,
80,Andy Dalton,CIN,QB,24,16,16,300,516,3398,20,13,37,152,4.11,1,1,0,0,,0,5,2,1,,,207,207.1,228.1,220.1,,15,
81,Josh Freeman ,TAM,QB,23,15,15,346,551,3592,16,22,55,238,4.33,4,1,0,-4,,0,9,5,4,,2,205,205.1,238.1,227.1,,16,
82,Joe Flacco,BAL,QB,26,16,16,312,542,3610,20,12,39,88,2.26,1,1,1,-8,-8.00,0,11,6,1,,,202,203.4,224.4,214.9,,17,
83,Tim Tebow,DEN,QB,24,14,11,126,271,1729,12,6,122,660,5.41,6,0,0,0,,0,14,6,6,2,,199,199.2,217.2,205.2,,18,
84,Matt Hasselbeck ,TEN,QB,36,16,16,319,518,3571,18,14,20,52,2.60,0,0,0,0,,0,4,1,0,,,190,190.0,208.0,204.0,,19,
85,Tarvaris Jackson ,SEA,QB,28,15,14,271,450,3091,14,13,40,108,2.70,1,0,0,0,,0,9,4,1,,,162,162.4,185.4,175.4,,20,
86,Matt Moore,MIA,QB,27,13,12,210,347,2497,16,9,32,65,2.03,2,0,0,0,,0,14,1,2,,,162,162.4,175.4,171.4,,21,
87,Colt McCoy,CLE,QB,25,13,13,265,463,2733,14,11,61,212,3.48,0,1,1,-5,-5.00,0,11,2,0,,,160,161.0,180.0,171.5,,22,
88,Matt Schaub,HOU,QB,30,10,10,178,292,2479,15,6,15,9,0.60,2,0,0,0,,0,3,1,2,,,158,158.1,168.1,164.1,,23,
89,Rex Grossman,WAS,QB,31,13,13,265,458,3151,16,20,20,11,0.55,1,0,0,0,,0,8,4,1,,,149,149.1,176.1,169.1,,24,
90,Cedric Benson ,CIN,RB,29,15,15,0,0,0,0,0,273,1067,3.91,6,22,15,82,5.47,0,5,2,6,,,147,161.9,166.9,154.4,,25,
91,Jonathan Stewart,CAR,RB,24,16,3,0,0,0,0,0,142,761,5.36,4,61,47,413,8.79,1,1,,5,,,147,194.4,200.4,170.9,,24,
92,DeAngelo Williams,CAR,RB,28,16,14,0,0,0,0,0,155,836,5.39,7,25,16,135,8.44,0,0,,7,,,139,155.1,161.1,147.1,,26,
93,Jay Cutler ,CHI,QB,28,10,10,182,314,2319,13,7,18,55,3.06,1,0,0,0,,0,7,3,1,,,136,136.3,149.3,143.3,,25,
94,Carson Palmer,OAK,QB,32,10,9,199,328,2753,13,16,16,20,1.25,1,0,0,0,,0,2,1,1,,,136,136.1,156.1,152.1,,26,
95,Pierre Thomas,NOR,RB,27,16,7,0,0,0,0,0,110,562,5.11,5,59,50,425,8.50,1,2,1,6,,,133,182.7,189.7,157.7,,27,
96,Ben Tate,HOU,RB,23,15,2,0,0,0,0,0,175,942,5.38,4,19,13,98,7.54,0,4,3,4,,,122,135.0,141.0,128.5,,28,
97,Brandon Jacobs,NYG,RB,29,14,6,0,0,0,0,0,152,571,3.76,7,23,15,128,8.53,1,3,,8,1,,120,134.9,140.9,127.4,,30,
98,DeMarco Murray,DAL,RB,23,13,7,0,0,0,0,0,164,897,5.47,2,35,26,183,7.04,0,1,,2,,,120,146.0,152.0,133.0,,29,
99,C.J. Spiller,BUF,RB,24,16,11,0,0,0,0,0,107,561,5.24,4,54,39,269,6.90,2,2,,6,,,119,158.0,164.0,138.5,,31,
100,Christian Ponder,MIN,QB,23,11,10,158,291,1853,13,13,28,219,7.82,0,0,0,0,,0,6,2,0,,,118,118.0,139.0,131.0,,27,
101,LeGarrette Blount,TAM,RB,25,14,14,0,0,0,0,0,184,781,4.24,5,25,15,148,9.87,0,5,3,5,,,117,131.9,140.9,124.4,,32,
102,Blaine Gabbert,JAX,QB,22,15,14,210,413,2214,12,11,48,98,2.04,0,0,0,0,,0,14,4,0,,,116,116.4,134.4,127.4,,28,
103,Roy Helu,WAS,RB,23,15,5,0,0,0,0,0,151,640,4.24,2,59,49,379,7.73,1,2,2,3,,,116,164.9,172.9,140.4,,33,
104,Lance Moore,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,73,52,627,12.06,8,0,,8,2,,115,166.7,169.7,140.7,,31,
105,Michael Crabtree,SFO,WR,24,15,14,0,0,0,0,0,1,6,6.00,0,115,72,874,12.14,4,0,,4,1,,114,186.0,189.0,150.0,,33,
106,Santonio Holmes,NYJ,WR,27,16,16,0,0,0,0,0,3,27,9.00,0,101,51,654,12.82,8,2,1,8,,,114,165.1,169.1,139.6,,32,
107,Jeremy Maclin,PHI,WR,23,13,13,0,0,0,0,0,1,1,1.00,0,96,63,859,13.63,5,1,1,5,,,114,177.0,181.0,145.5,,34,
108,Eric Decker,DEN,WR,24,16,13,0,1,0,0,0,1,1,1.00,0,96,44,612,13.91,8,1,1,9,,,113,157.3,161.3,135.3,,35,
109,Plaxico Burress,NYJ,WR,34,16,13,0,0,0,0,0,0,0,,0,96,45,612,13.60,8,0,,8,,,109,154.2,157.2,131.7,,36,
110,Anquan Boldin,BAL,WR,31,14,14,0,0,0,0,0,0,0,,0,106,57,887,15.56,3,1,,3,,,107,163.7,166.7,135.2,,37,
111,James Jones,GNB,WR,27,16,0,0,0,0,0,0,0,0,,0,55,38,635,16.71,7,1,,7,,,106,143.5,146.5,124.5,,38,
112,Darren McFadden,OAK,RB,24,7,7,0,0,0,0,0,113,614,5.43,4,23,19,154,8.11,1,1,1,5,,,105,123.8,130.8,114.3,,34,
113,Denarius Moore,OAK,WR,23,13,10,0,0,0,0,0,5,61,12.20,1,76,33,618,18.73,5,1,,6,,,104,136.9,139.9,120.4,,39,
114,Doug Baldwin ,SEA,WR,23,16,1,0,0,0,0,0,1,-2,-2.00,0,85,51,788,15.45,4,0,,4,,,103,153.6,156.6,128.1,,40,
115,Donald Brown,IND,RB,24,16,2,0,0,0,0,0,134,645,4.81,5,19,16,86,5.38,0,0,,5,,,103,119.1,122.1,111.1,,35,
116,John Skelton,ARI,QB,23,8,7,151,275,1913,11,14,28,128,4.57,0,0,0,0,,0,4,1,0,,,103,103.3,124.3,117.3,,29,
117,Miles Austin,DAL,WR,27,10,10,0,0,0,0,0,2,3,1.50,0,73,43,579,13.47,7,1,,7,,,100,143.2,146.2,121.7,,42,
118,Deion Branch,NWE,WR,32,15,15,0,0,0,0,0,0,0,,0,90,51,702,13.76,5,0,,5,,,100,151.2,154.2,125.7,,43,
119,Nate Burleson,DET,WR,30,16,11,0,0,0,0,0,11,85,7.73,0,110,73,757,10.37,3,1,1,3,,,100,173.2,177.2,136.7,,44,
120,Robert Meachem,NOR,WR,27,16,8,0,0,0,0,0,4,18,4.50,0,60,40,620,15.50,6,0,,6,,,100,139.8,142.8,119.8,,45,
121,Titus Young,DET,WR,22,16,9,0,0,0,0,0,2,15,7.50,0,86,48,607,12.65,6,1,,6,1,,100,148.2,151.2,124.2,,41,
122,Early Doucet,ARI,WR,26,16,6,0,0,0,0,0,0,0,,0,97,54,689,12.76,5,1,,5,,,99,152.9,155.9,125.9,,46,
123,Ryan Grant,GNB,RB,29,15,14,0,0,0,0,0,134,559,4.17,2,24,19,268,14.11,1,2,1,3,,,99,117.7,124.7,108.2,,36,
124,Kevin Kolb,ARI,QB,27,9,9,146,253,1955,9,8,17,65,3.82,0,0,0,0,,0,8,3,0,,,99,98.7,112.7,106.7,,30,
125,Jerome Simpson,CIN,WR,25,16,14,0,0,0,0,0,0,0,,0,105,50,725,14.50,4,0,,4,,,97,146.5,149.5,121.5,,47,
126,Matt Cassel,KAN,QB,29,9,9,160,269,1713,10,9,25,99,3.96,0,1,1,-4,-4.00,0,5,2,0,,,96,97.0,111.0,105.5,,31,
127,Fred Davis,WAS,TE,25,12,12,0,0,0,0,0,0,0,,0,88,59,796,13.49,3,1,1,3,,,96,154.6,158.6,125.1,,13,
128,Toby Gerhart ,MIN,RB,24,16,5,0,0,0,0,0,109,531,4.87,1,28,23,190,8.26,3,1,,4,,,96,119.1,125.1,107.6,,37,
129,Jermaine Gresham,CIN,TE,23,14,13,0,0,0,0,0,0,0,,0,92,56,596,10.64,6,1,1,6,,,94,149.6,153.6,121.6,,14,
130,Kevin Smith,DET,RB,25,7,4,0,0,0,0,0,72,356,4.94,4,28,22,179,8.14,3,1,1,7,,,94,115.5,122.5,104.5,,38,
131,Steve Breaston,KAN,WR,28,16,13,0,0,0,0,0,1,25,25.00,0,98,61,785,12.87,2,0,,2,,,93,154.0,157.0,123.5,,48,
132,LaDainian Tomlinson,NYJ,RB,32,14,1,0,0,0,0,0,75,280,3.73,1,61,42,449,10.69,2,0,,3,,,91,132.9,138.9,111.9,,39,
133,Mike Williams,TAM,WR,24,16,15,0,0,0,0,0,1,3,3.00,0,124,65,771,11.86,3,2,2,3,,,91,156.4,161.4,123.9,,49,
134,Jared Cook,TEN,TE,24,16,5,0,0,0,0,0,0,0,,0,81,49,759,15.49,3,2,2,3,,,90,138.9,143.9,114.4,,16,
135,Dexter McCluster,KAN,WR,22,16,4,0,0,0,0,0,114,516,4.53,1,64,46,328,7.13,1,4,3,2,,,90,136.4,145.4,113.4,,50,
136,Kellen Winslow,TAM,TE,28,16,15,0,0,0,0,0,0,0,,0,123,75,763,10.17,2,2,1,2,2,,90,165.3,169.3,127.8,,15,
137,Sam Bradford ,STL,QB,24,10,10,191,357,2164,6,6,18,26,1.44,0,0,0,0,,0,10,6,0,,,89,89.2,104.2,95.2,,32,
138,Damian Williams,TEN,WR,23,15,13,0,0,0,0,0,0,0,,0,94,45,592,13.16,5,0,,5,,,89,134.2,137.2,111.7,,51,
139,Peyton Hillis,CLE,RB,25,10,9,0,0,0,0,0,161,587,3.65,3,34,22,130,5.91,0,2,1,3,,,88,109.7,116.7,98.7,,40,
140,Jahvid Best,DET,RB,22,6,6,0,0,0,0,0,84,390,4.64,2,40,27,287,10.63,1,0,,3,,,86,112.7,118.7,99.2,,41,
141,Owen Daniels,HOU,TE,29,15,15,0,0,0,0,0,0,0,,0,85,54,677,12.54,3,0,,3,,,86,139.7,142.7,112.7,,17,
142,Jake Ballard,NYG,TE,24,14,13,0,0,0,0,0,0,0,,0,61,38,604,15.89,4,0,,4,,,84,122.4,125.4,103.4,,18,
143,Josh Cribbs,CLE,WR,28,16,7,0,0,0,0,0,7,25,3.57,0,67,41,518,12.63,4,3,,5,,,84,125.3,128.3,104.8,,53,
144,Greg Little,CLE,WR,22,16,12,0,0,0,0,0,3,15,5.00,0,119,61,709,11.62,2,0,,2,,,84,145.4,148.4,114.9,,52,
145,Greg Olsen,CAR,TE,26,16,13,0,0,0,0,0,0,0,,0,89,45,540,12.00,5,1,1,5,1,,84,129.0,133.0,106.5,,19,
146,Ed Dickson,BAL,TE,24,16,16,0,0,0,0,0,0,0,,0,89,54,528,9.78,5,0,,5,,,83,136.8,139.8,109.8,,20,
147,Johnny Knox,CHI,WR,25,14,11,0,0,0,0,0,0,0,,0,69,37,727,19.65,2,1,1,2,,,83,119.7,123.7,101.2,,54,
148,James Starks,GNB,RB,25,13,2,0,0,0,0,0,133,578,4.35,1,37,29,216,7.45,0,2,1,1,,,83,112.4,119.4,97.9,,42,
149,Felix Jones,DAL,RB,24,12,8,0,0,0,0,0,127,575,4.53,1,45,33,221,6.70,0,5,2,1,,,82,114.6,122.6,98.1,,43,
150,Santana Moss,WAS,WR,32,12,12,0,0,0,0,0,0,0,,0,95,46,584,12.70,4,0,,4,,,82,128.4,131.4,105.4,,55,
151,Marion Barber III,CHI,RB,28,11,1,0,0,0,0,0,114,422,3.70,6,9,5,50,10.00,0,1,1,6,,,81,86.2,90.2,83.7,,44,
152,Donald Driver,GNB,WR,36,16,15,0,0,0,0,0,0,0,,0,56,37,445,12.03,6,0,,6,,,81,117.5,120.5,99.0,,56,
153,Mark Ingram,NOR,RB,22,10,4,0,0,0,0,0,122,474,3.89,5,13,11,46,4.18,0,1,1,5,,,80,91.0,95.0,85.5,,45,
154,Demaryius Thomas,DEN,WR,24,11,5,0,1,0,0,0,1,5,5.00,0,70,32,551,17.22,4,0,,4,,,80,111.6,114.6,95.6,,57,
155,Jackie Battle,KAN,RB,28,15,4,0,0,0,0,0,149,597,4.01,2,13,9,68,7.56,0,0,,2,,,79,87.5,90.5,83.0,,47,
156,Jason Campbell,OAK,QB,30,6,6,100,165,1170,6,4,18,60,3.33,2,0,0,0,,0,3,1,2,,,79,78.8,86.8,82.8,,34,
157,Kendall Hunter,SFO,RB,23,16,1,0,0,0,0,0,112,473,4.22,2,26,16,195,12.19,0,1,,2,,,79,94.8,100.8,86.8,,46,
158,Brandon LaFell,CAR,WR,25,16,6,0,0,0,0,0,0,0,,0,56,36,613,17.03,3,0,,3,,,79,115.3,118.3,97.3,,58,
159,Mario Manningham,NYG,WR,25,12,10,0,0,0,0,0,0,0,,0,77,39,523,13.41,4,0,,4,,,76,115.3,118.3,95.8,,59,
160,Dezmon Briscoe,TAM,WR,22,16,2,0,0,0,0,0,0,0,,0,51,35,387,11.06,6,0,,6,,,75,109.7,112.7,92.2,,60,
161,Anthony Fasano,MIA,TE,27,15,15,0,0,0,0,0,0,0,,0,54,32,451,14.09,5,0,,5,,,75,107.1,110.1,91.1,,21,
162,Heath Miller,PIT,TE,29,16,16,0,0,0,0,0,1,6,6.00,0,74,51,631,12.37,2,1,1,2,,,74,124.7,128.7,99.2,,22,
163,Scott Chandler,BUF,TE,26,14,9,0,0,0,0,0,0,0,,0,46,38,389,10.24,6,1,1,6,,,73,110.9,114.9,91.9,,24,
164,Andre Roberts,ARI,WR,23,16,16,0,0,0,0,0,3,27,9.00,0,98,51,586,11.49,2,1,,2,,,73,124.3,127.3,98.8,,61,
165,Tony Scheffler,DET,TE,28,15,5,0,0,0,0,0,1,5,5.00,0,43,26,347,13.35,6,1,,6,1,,73,99.2,102.2,86.2,,23,
166,Jason Avant,PHI,WR,28,16,7,0,0,0,0,0,0,0,,0,81,52,679,13.06,1,2,1,1,,,72,123.9,127.9,97.9,,62,
167,Curtis Painter,IND,QB,26,9,8,132,243,1541,6,9,17,107,6.29,0,0,0,0,,0,5,3,0,,,72,72.3,90.3,81.3,,35,
